Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,High-PreClose,PreClose-Low,High-Open,Open-Low,High-Low,PreClose-Open
TATAMOTORS,EQ,28-Sep-17,404.9,406.95,406.95,399,400.6,401.4,402.23,4850748,1951134068,49124,2129288,43.9,2.05,5.9,0,7.95,7.95,-2.05
TATAMOTORS,EQ,29-Sep-17,401.4,401.4,405,397.4,403.85,401.5,401.02,7520906,3016016013,73616,4323253,57.48,3.6,4,3.6,4,7.6,0
TATAMOTORS,EQ,3-Oct-17,401.5,428,428,415,416,416,419.25,9696920,4065423532,119070,2206323,22.75,26.5,-13.5,0,13,13,-26.5
TATAMOTORS,EQ,4-Oct-17,416,417.55,426,412.7,425.8,423.55,419.51,7663143,3214755761,90091,2964462,38.68,10,3.3,8.45,4.85,13.3,-1.55
TATAMOTORS,EQ,5-Oct-17,423.55,423,425.8,420.1,424.25,423.3,422.95,4606192,1948200611,55812,1829409,39.72,2.25,3.45,2.8,2.9,5.7,0.55
TATAMOTORS,EQ,6-Oct-17,423.3,422,426,416.2,424.65,424.85,423.2,5308695,2246652247,57527,1712678,32.26,2.7,7.1,4,5.8,9.8,1.3
TATAMOTORS,EQ,9-Oct-17,424.85,424,432.1,423.05,425.2,425.6,427.35,4414381,1886482043,52653,1630868,36.94,7.25,1.8,8.1,0.95,9.05,0.85
TATAMOTORS,EQ,10-Oct-17,425.6,425.6,428.9,421.4,423.9,423.6,424.86,5057869,2148885632,66746,2192814,43.35,3.3,4.2,3.3,4.2,7.5,0
TATAMOTORS,EQ,11-Oct-17,423.6,424.9,424.9,414.1,414.45,415.5,419.53,4320451,1812544104,57500,2022230,46.81,1.3,9.5,0,10.8,10.8,-1.3
TATAMOTORS,EQ,12-Oct-17,415.5,415.5,421.8,409.35,420,420.15,415.75,5442846,2262885324,68575,1656258,30.43,6.3,6.15,6.3,6.15,12.45,0
TATAMOTORS,EQ,13-Oct-17,420.15,421,429.3,418.9,425.5,424.8,425.8,6969434,2967599279,80659,3108617,44.6,9.15,1.25,8.3,2.1,10.4,-0.85
TATAMOTORS,EQ,16-Oct-17,424.8,426.3,438,425.85,437.5,437.05,433.4,8476709,3673790483,84794,2752027,32.47,13.2,-1.05,11.7,0.45,12.15,-1.5
TATAMOTORS,EQ,17-Oct-17,437.05,435.75,435.75,430.2,434,432.3,432.43,5135763,2220854174,50449,1562651,30.43,-1.3,6.85,0,5.55,5.55,1.3
TATAMOTORS,EQ,18-Oct-17,432.3,432.25,437.3,426.6,432.5,433.2,432.3,5539785,2394856852,50385,1738864,31.39,5,5.7,5.05,5.65,10.7,0.05
TATAMOTORS,EQ,19-Oct-17,433.2,433,433.1,424.25,424.35,426.95,428.85,1313380,563241467.5,15612,634227,48.29,-0.1,8.95,0.1,8.75,8.85,0.2
TATAMOTORS,EQ,23-Oct-17,426.95,429.1,430.85,421,422,422.75,424.61,4013418,1704140745,47424,1462368,36.44,3.9,5.95,1.75,8.1,9.85,-2.15
TATAMOTORS,EQ,24-Oct-17,422.75,422.75,423.8,415.05,415.85,416.05,417.53,4541742,1896293736,123220,2412847,53.13,1.05,7.7,1.05,7.7,8.75,0
TATAMOTORS,EQ,25-Oct-17,416.05,421,424.4,415.1,421.35,421.95,421.04,5666968,2386041338,68558,2967138,52.36,8.35,0.95,3.4,5.9,9.3,-4.95
TATAMOTORS,EQ,26-Oct-17,421.95,421.7,422.4,417,422,419.4,419.4,6207936,2603587026,42789,3885744,62.59,0.45,4.95,0.7,4.7,5.4,0.25
TATAMOTORS,EQ,27-Oct-17,419.4,422.05,434.35,422.05,429.85,429.9,428.87,7414741,3179995056,83467,3052116,41.16,14.95,-2.65,12.3,0,12.3,-2.65
TATAMOTORS,EQ,30-Oct-17,429.9,428.25,440.95,428.25,437.6,436.55,437.27,7675104,3356065801,100117,3761231,49.01,11.05,1.65,12.7,0,12.7,1.65
TATAMOTORS,EQ,31-Oct-17,436.55,438.85,438.85,427.3,428.4,428.4,430.37,6214996,2674747454,61396,3913885,62.97,2.3,9.25,0,11.55,11.55,-2.3
TATAMOTORS,EQ,1-Nov-17,428.4,430.95,439.95,428.45,437.2,437.75,436.09,7310931,3188260366,60645,3256787,44.55,11.55,-0.05,9,2.5,11.5,-2.55
TATAMOTORS,EQ,2-Nov-17,437.75,435.7,440.4,429.9,435.5,434.9,433.95,8262211,3585368005,58575,4072660,49.29,2.65,7.85,4.7,5.8,10.5,2.05
TATAMOTORS,EQ,3-Nov-17,434.9,434,449.35,432.65,448.5,447.7,442.06,8116263,3587902427,109297,3959318,48.78,14.45,2.25,15.35,1.35,16.7,0.9
TATAMOTORS,EQ,6-Nov-17,447.7,445.75,468,443.55,457.9,462.9,457.93,19456789,8909761237,156164,9404850,48.34,20.3,4.15,22.25,2.2,24.45,1.95
TATAMOTORS,EQ,7-Nov-17,462.9,458.2,465.9,450.05,451.7,451.85,457.37,13266543,6067685188,127450,5837113,44,3,12.85,7.7,8.15,15.85,4.7
TATAMOTORS,EQ,8-Nov-17,451.85,448,455,431.3,440.5,438.2,443.57,11193613,4965126941,142685,4026614,35.97,3.15,20.55,7,16.7,23.7,3.85
TATAMOTORS,EQ,9-Nov-17,438.2,442.1,450.9,425.65,440.35,440.15,441.67,40547266,17908435354,338004,13510048,33.32,12.7,12.55,8.8,16.45,25.25,-3.9
TATAMOTORS,EQ,10-Nov-17,440.15,438.95,438.95,420,421.55,422.55,426.07,22534490,9601344287,213471,9115415,40.45,-1.2,20.15,0,18.95,18.95,1.2
TATAMOTORS,EQ,13-Nov-17,422.55,423,427.5,416.1,417.85,418.1,422.06,9857544,4160453308,97272,4867491,49.38,4.95,6.45,4.5,6.9,11.4,-0.45
TATAMOTORS,EQ,14-Nov-17,418.1,418.55,421.85,410.65,414,414.3,416.06,8987515,3739353635,90996,3704111,41.21,3.75,7.45,3.3,7.9,11.2,-0.45
TATAMOTORS,EQ,15-Nov-17,414.3,414.3,417.55,407,409.65,408.65,411.75,9867270,4062875154,104073,3867904,39.2,3.25,7.3,3.25,7.3,10.55,0
TATAMOTORS,EQ,16-Nov-17,408.65,411.35,415.9,411.35,415,413.45,413.82,6291441,2603526848,81043,2514217,39.96,7.25,-2.7,4.55,0,4.55,-2.7
TATAMOTORS,EQ,17-Nov-17,413.45,419.45,423.45,417,421.7,421.8,420.22,6191428,2601790529,91339,2432693,39.29,10,-3.55,4,2.45,6.45,-6
TATAMOTORS,EQ,20-Nov-17,421.8,421,425.7,420.1,423.35,423,422.71,4051153,1712462247,42978,1292851,31.91,3.9,1.7,4.7,0.9,5.6,0.8
TATAMOTORS,EQ,21-Nov-17,423,424.45,430,422.5,424,424.25,425.97,6745407,2873360503,72243,2249809,33.35,7,0.5,5.55,1.95,7.5,-1.45
TATAMOTORS,EQ,22-Nov-17,424.25,425.45,433,424.5,428,428.6,429.12,7899417,3389813792,91008,2096516,26.54,8.75,-0.25,7.55,0.95,8.5,-1.2
TATAMOTORS,EQ,23-Nov-17,428.6,428.6,431.05,422.45,426.4,426.25,427.13,7374216,3149726029,67605,3006185,40.77,2.45,6.15,2.45,6.15,8.6,0
TATAMOTORS,EQ,24-Nov-17,426.25,427,429.95,424.25,425.5,425.5,426.88,5108182,2180567998,55588,2373641,46.47,3.7,2,2.95,2.75,5.7,-0.75
TATAMOTORS,EQ,27-Nov-17,425.5,423,424.75,417.8,421.65,421.4,421.35,7946028,3348088447,89802,4640573,58.4,-0.75,7.7,1.75,5.2,6.95,2.5
TATAMOTORS,EQ,28-Nov-17,421.4,419.8,422.25,414.5,414.8,415.95,418.52,6217480,2602128698,64747,3188855,51.29,0.85,6.9,2.45,5.3,7.75,1.6
TATAMOTORS,EQ,29-Nov-17,415.95,415.9,419.45,412.05,412.5,413.95,416.59,4327453,1802794179,61144,1589776,36.74,3.5,3.9,3.55,3.85,7.4,0.05
TATAMOTORS,EQ,30-Nov-17,413.95,410.4,412.25,402.25,404.85,404.15,406.29,25646262,10419723812,162012,19157885,74.7,-1.7,11.7,1.85,8.15,10,3.55
